Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift2,490000E+3	2,277914E-7	6,645111E-9	6,061213E-1	5,587813E-2
2,500000E+3	2,272145E-7	6,338933E-9	5,183764E-1	5,729715E-2
2,510000E+3	2,283426E-7	6,227327E-9	4,564369E-1	5,814056E-2
2,520000E+3	2,284738E-7	6,050029E-9	4,052653E-1	6,016437E-2
2,530000E+3	2,276501E-7	5,925090E-9	3,532180E-1	6,240455E-2
2,540000E+3	2,275476E-7	6,030213E-9	3,137573E-1	6,233817E-2
2,550000E+3	2,263147E-7	8,030298E-9	2,928000E-1	6,379665E-2
2,560000E+3	2,265466E-7	7,871101E-9	2,677578E-1	6,334631E-2
2,570000E+3	2,274442E-7	8,025261E-9	2,574738E-1	6,132777E-2
2,580000E+3	2,271985E-7	7,833670E-9	2,433523E-1	6,050008E-2
2,590000E+3	2,276506E-7	7,849845E-9	2,309300E-1	5,967135E-2
2,600000E+3	2,288868E-7	8,495038E-9	2,179963E-1	5,983917E-2
